trial,prism_ns_per_op,baseline_ns_per_op
0,14.1395,449.6869
1,13.0277,464.2442
2,11.8701,474.1734
3,14.1294,448.1568
4,12.2047,446.1435
5,12.5394,452.0278
6,12.6996,448.1240
7,12.4573,468.7164
8,12.2994,449.6470
9,12.2866,466.0310
10,12.5138,508.1968
11,12.8637,451.0241
12,13.0061,462.6100
13,13.1813,463.4157
14,12.9114,463.7902
15,12.7240,464.5947
16,12.6983,492.7018
17,12.5474,470.7948
18,12.9304,453.5256
19,12.8604,473.5790
20,12.4155,491.2028
21,14.1560,450.8967
22,11.8439,469.5472
23,12.3133,462.3520
24,12.2885,477.9897
25,12.7896,465.8403
26,11.9707,468.5841
27,13.0875,446.0604
28,13.1128,472.3592
29,12.3672,452.8690
30,13.4658,467.9911
31,12.2210,469.7720
32,13.1434,459.2915
33,12.4153,460.3332
34,11.9576,455.1437
35,13.4167,456.6936
36,12.6024,447.3242
37,12.4010,465.4105
38,14.1701,460.4365
39,13.0332,463.0616
40,13.0722,453.9909
41,12.3647,458.4058
42,12.5394,470.0111
43,12.7287,525.2686
44,12.0450,459.8828
45,13.0241,460.3301
46,13.1851,457.0508
47,11.9018,459.4423
48,12.9002,449.4838
49,13.9410,453.4935
50,13.4541,456.5720
51,12.5207,450.2552
52,12.5590,472.6988
53,14.3820,448.8137
54,12.9528,447.0651
55,12.8324,444.8607
56,12.9975,452.5726
57,12.3205,458.5166
58,12.6431,466.3707
59,11.8885,448.5473
